date,usage
2022-04-30-23-15,33
2022-04-30-23-16,34
2022-04-30-23-17,34
2022-04-30-23-18,33
2022-04-30-23-19,32
2022-04-30-23-20,32
2022-04-30-23-21,32
2022-04-30-23-22,32
2022-04-30-23-23,32
2022-04-30-23-24,33
2022-04-30-23-25,33
2022-04-30-23-26,33
2022-04-30-23-27,32
2022-04-30-23-28,33
2022-04-30-23-29,34
2022-04-30-23-30,34
2022-04-30-23-31,37
2022-04-30-23-32,38
2022-04-30-23-33,38
2022-04-30-23-34,38
2022-04-30-23-35,38
2022-04-30-23-36,38
2022-04-30-23-37,38
2022-04-30-23-38,37
2022-04-30-23-39,36
2022-04-30-23-40,35
2022-04-30-23-41,35
2022-04-30-23-42,35
2022-04-30-23-43,35
2022-04-30-23-44,34
2022-04-30-23-45,35
2022-04-30-23-46,32
2022-04-30-23-47,33
2022-04-30-23-48,32
2022-04-30-23-49,32
2022-04-30-23-50,32
2022-04-30-23-51,32
2022-04-30-23-52,32
2022-04-30-23-53,31
2022-04-30-23-54,31
2022-04-30-23-55,31
2022-04-30-23-56,31
2022-04-30-23-57,30
2022-04-30-23-58,30
2022-04-30-23-59,29
2022-05-01-00-00,28
2022-05-01-00-01,27
2022-05-01-00-02,27
2022-05-01-00-03,28
2022-05-01-00-04,29
2022-05-01-00-05,29
2022-05-01-00-06,29
2022-05-01-00-07,29
2022-05-01-00-08,29
2022-05-01-00-09,29
2022-05-01-00-10,29
2022-05-01-00-11,30
2022-05-01-00-12,29
2022-05-01-00-13,28
2022-05-01-00-14,29
2022-05-01-00-15,29
2022-05-01-00-16,27
2022-05-01-00-17,27
2022-05-01-00-18,26
2022-05-01-00-19,25
2022-05-01-00-20,26
2022-05-01-00-21,25
2022-05-01-00-22,25
2022-05-01-00-23,25
2022-05-01-00-24,26
2022-05-01-00-25,25
2022-05-01-00-26,25
2022-05-01-00-27,25
2022-05-01-00-28,25
2022-05-01-00-29,24
2022-05-01-00-30,24
2022-05-01-00-31,22
2022-05-01-00-32,20
2022-05-01-00-33,20
2022-05-01-00-35,22
2022-05-01-00-36,20
2022-05-01-00-37,20
2022-05-01-00-38,20
2022-05-01-00-39,20
2022-05-01-00-40,20
2022-05-01-00-41,20
2022-05-01-00-42,20
2022-05-01-00-43,19
2022-05-01-00-44,19
2022-05-01-00-45,19
2022-05-01-00-46,19
2022-05-01-00-47,18
2022-05-01-00-48,18
2022-05-01-00-49,18
2022-05-01-00-50,18
2022-05-01-00-51,16
2022-05-01-00-52,18
2022-05-01-00-53,18
2022-05-01-00-54,18
2022-05-01-00-55,18
2022-05-01-00-56,19
2022-05-01-00-57,18
2022-05-01-00-58,19
2022-05-01-00-59,19
2022-05-01-01-00,19
2022-05-01-01-01,20
2022-05-01-01-02,21
2022-05-01-01-03,21
2022-05-01-01-04,22
2022-05-01-01-05,22
2022-05-01-01-06,21
2022-05-01-01-07,22
2022-05-01-01-08,22
2022-05-01-01-09,23
2022-05-01-01-10,23
2022-05-01-01-11,23
2022-05-01-01-12,22
2022-05-01-01-13,22
2022-05-01-01-14,22
2022-05-01-01-15,22
2022-05-01-01-16,22
2022-05-01-01-17,22
2022-05-01-01-18,23
2022-05-01-01-19,22
2022-05-01-01-20,22
2022-05-01-01-21,21
2022-05-01-01-22,21
2022-05-01-01-23,22
2022-05-01-01-24,23
2022-05-01-01-25,24
2022-05-01-01-26,25
2022-05-01-01-27,26
2022-05-01-01-28,26
2022-05-01-01-29,26
2022-05-01-01-30,25
2022-05-01-01-31,25
2022-05-01-01-32,25
2022-05-01-01-33,25
2022-05-01-01-34,25
2022-05-01-01-35,24
2022-05-01-01-36,24
2022-05-01-01-37,24
2022-05-01-01-38,24
2022-05-01-01-39,25
2022-05-01-01-40,26
2022-05-01-01-41,27
2022-05-01-01-42,27
2022-05-01-01-43,27
2022-05-01-01-44,27
2022-05-01-01-45,27
2022-05-01-01-46,27
2022-05-01-01-47,27
2022-05-01-01-48,27
2022-05-01-01-49,26
2022-05-01-01-50,26
2022-05-01-01-51,25
2022-05-01-01-52,23
2022-05-01-01-53,23
2022-05-01-01-54,23
2022-05-01-01-55,23
2022-05-01-01-56,21
2022-05-01-01-57,22
2022-05-01-01-58,21
2022-05-01-01-59,21
2022-05-01-02-00,22
2022-05-01-02-01,21
2022-05-01-02-02,21
2022-05-01-02-03,20
2022-05-01-02-04,19
2022-05-01-02-05,19
2022-05-01-02-06,19
2022-05-01-02-07,19
2022-05-01-02-08,19
2022-05-01-02-09,18
2022-05-01-02-10,21
2022-05-01-02-11,21
2022-05-01-02-12,21
2022-05-01-02-13,21
2022-05-01-02-14,21
2022-05-01-02-15,21
2022-05-01-02-16,21
2022-05-01-02-17,20
2022-05-01-02-18,20
2022-05-01-02-19,20
2022-05-01-02-20,19
2022-05-01-02-21,19
2022-05-01-02-22,20
2022-05-01-02-23,19
2022-05-01-02-24,18
2022-05-01-02-25,17
2022-05-01-02-26,16
2022-05-01-02-27,15
2022-05-01-02-28,14
2022-05-01-02-29,14
2022-05-01-02-30,14
2022-05-01-02-31,15
2022-05-01-02-32,16
2022-05-01-02-33,16
2022-05-01-02-34,16
2022-05-01-02-35,16
2022-05-01-02-36,16
2022-05-01-02-37,16
2022-05-01-02-38,16
2022-05-01-02-39,17
2022-05-01-02-40,16
2022-05-01-02-41,16
2022-05-01-02-42,15
2022-05-01-02-43,15
2022-05-01-02-44,15
2022-05-01-02-45,16
2022-05-01-02-46,16
2022-05-01-02-47,16
2022-05-01-02-48,16
2022-05-01-02-49,17
2022-05-01-02-50,17
2022-05-01-02-51,17
2022-05-01-02-52,17
2022-05-01-02-53,17
2022-05-01-02-54,17
2022-05-01-02-55,17
2022-05-01-02-56,17
2022-05-01-02-57,16
2022-05-01-02-58,16
2022-05-01-02-59,16
2022-05-01-03-00,15
2022-05-01-03-01,15
2022-05-01-03-02,15
2022-05-01-03-03,16
2022-05-01-03-04,16
2022-05-01-03-05,17
2022-05-01-03-06,17
2022-05-01-03-07,17
2022-05-01-03-08,17
2022-05-01-03-09,17
2022-05-01-03-10,17
2022-05-01-03-11,17
2022-05-01-03-12,18
2022-05-01-03-13,19
2022-05-01-03-14,19
2022-05-01-03-15,19
2022-05-01-03-16,19
2022-05-01-03-17,20
2022-05-01-03-18,20
2022-05-01-03-19,20
2022-05-01-03-20,20
2022-05-01-03-21,20
2022-05-01-03-22,19
2022-05-01-03-23,19
2022-05-01-03-24,19
2022-05-01-03-25,19
2022-05-01-03-26,19
2022-05-01-03-27,19
2022-05-01-03-28,19
2022-05-01-03-29,19
2022-05-01-03-30,19
2022-05-01-03-31,18
2022-05-01-03-32,19
2022-05-01-03-33,19
2022-05-01-03-34,19
2022-05-01-03-35,18
2022-05-01-03-36,19
2022-05-01-03-37,19
2022-05-01-03-38,19
2022-05-01-03-39,18
2022-05-01-03-40,18
2022-05-01-03-41,18
2022-05-01-03-42,18
2022-05-01-03-43,18
2022-05-01-03-44,18
2022-05-01-03-45,17
2022-05-01-03-46,17
2022-05-01-03-47,17
2022-05-01-03-48,17
2022-05-01-03-49,17
2022-05-01-03-50,17
2022-05-01-03-51,17
2022-05-01-03-52,17
2022-05-01-03-53,17
2022-05-01-03-54,18
2022-05-01-03-55,18
2022-05-01-03-56,18
2022-05-01-03-57,18
2022-05-01-03-58,18
2022-05-01-03-59,19
2022-05-01-04-00,19
2022-05-01-04-01,19
2022-05-01-04-02,19
2022-05-01-04-03,19
2022-05-01-04-04,18
2022-05-01-04-05,17
2022-05-01-04-06,18
2022-05-01-04-07,18
2022-05-01-04-08,18
2022-05-01-04-09,18
2022-05-01-04-10,17
2022-05-01-04-11,17
2022-05-01-04-12,16
2022-05-01-04-13,15
2022-05-01-04-14,15
2022-05-01-04-15,15
2022-05-01-04-16,14
2022-05-01-04-17,14
2022-05-01-04-18,13
2022-05-01-04-19,13
2022-05-01-04-20,13
2022-05-01-04-21,13
2022-05-01-04-22,13
2022-05-01-04-23,14
2022-05-01-04-24,13
2022-05-01-04-25,13
2022-05-01-04-26,14
2022-05-01-04-27,14
2022-05-01-04-28,14
2022-05-01-04-29,14
2022-05-01-04-30,14
2022-05-01-04-31,14
2022-05-01-04-32,14
2022-05-01-04-33,15
2022-05-01-04-34,15
2022-05-01-04-35,15
2022-05-01-04-36,14
2022-05-01-04-37,13
2022-05-01-04-38,13
2022-05-01-04-39,13
2022-05-01-04-40,13
2022-05-01-04-41,14
2022-05-01-04-42,14
2022-05-01-04-43,14
2022-05-01-04-44,13
2022-05-01-04-45,13
2022-05-01-04-46,13
2022-05-01-04-47,13
2022-05-01-04-48,13
2022-05-01-04-49,13
2022-05-01-04-50,12
2022-05-01-04-51,12
2022-05-01-04-52,12
2022-05-01-04-53,12
2022-05-01-04-54,12
2022-05-01-04-55,12
2022-05-01-04-56,12
2022-05-01-04-57,12
2022-05-01-04-58,12
2022-05-01-04-59,12
2022-05-01-05-00,13
2022-05-01-05-01,13
2022-05-01-05-02,13
2022-05-01-05-03,13
2022-05-01-05-04,13
2022-05-01-05-05,13
2022-05-01-05-06,13
2022-05-01-05-07,13
2022-05-01-05-08,13
2022-05-01-05-09,13
2022-05-01-05-10,12
2022-05-01-05-11,12
2022-05-01-05-12,12
2022-05-01-05-13,12
2022-05-01-05-14,12
2022-05-01-05-15,12
2022-05-01-05-16,12
2022-05-01-05-17,12
2022-05-01-05-18,12
2022-05-01-05-19,12
2022-05-01-05-20,12
2022-05-01-05-21,12
2022-05-01-05-22,12
2022-05-01-05-23,11
2022-05-01-05-24,11
2022-05-01-05-25,11
2022-05-01-05-26,11
2022-05-01-05-27,11
2022-05-01-05-28,11
2022-05-01-05-29,11
2022-05-01-05-30,10
2022-05-01-05-31,10
2022-05-01-05-32,10
2022-05-01-05-33,11
2022-05-01-05-34,11
2022-05-01-05-35,11
2022-05-01-05-36,11
2022-05-01-05-37,11
2022-05-01-05-38,11
2022-05-01-05-39,11
2022-05-01-05-40,11
2022-05-01-05-41,10
2022-05-01-05-42,10
2022-05-01-05-43,10
2022-05-01-05-44,10
2022-05-01-05-45,10
2022-05-01-05-46,10
2022-05-01-05-47,10
2022-05-01-05-48,10
2022-05-01-05-49,10
2022-05-01-05-50,11
2022-05-01-05-51,11
2022-05-01-05-52,11
2022-05-01-05-53,11
2022-05-01-05-54,11
2022-05-01-05-55,11
2022-05-01-05-56,11
2022-05-01-05-57,11
2022-05-01-05-58,11
2022-05-01-05-59,11
2022-05-01-06-00,11
2022-05-01-06-01,11
2022-05-01-06-02,11
2022-05-01-06-03,11
2022-05-01-06-04,10
2022-05-01-06-05,10
2022-05-01-06-06,10
2022-05-01-06-07,10
2022-05-01-06-08,10
2022-05-01-06-09,10
2022-05-01-06-10,10
2022-05-01-06-11,10
2022-05-01-06-12,10
2022-05-01-06-13,10
2022-05-01-06-14,10
2022-05-01-06-15,10
2022-05-01-06-16,10
2022-05-01-06-17,10
2022-05-01-06-18,10
2022-05-01-06-19,10
2022-05-01-06-20,10
2022-05-01-06-21,9
